Attacking,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Normal
Fire,0.5,0.5,2,1,2,1,1,1,1,1,2,0.5,1,0.5,1
Water,2,0.5,0.5,1,1,1,1,2,1,1,1,2,1,0.5,1
Grass,0.5,2,0.5,1,1,1,0.5,2,0.5,1,0.5,2,1,0.5,1
Electric,1,2,0.5,0.5,1,1,1,0,2,1,1,1,1,0.5,1
Ice,1,0.5,2,1,0.5,1,1,2,2,1,1,1,1,2,1
Fighting,1,1,1,1,2,1,0.5,1,0.5,0.5,0.5,2,0,1,2
Poison,1,1,2,1,1,1,0.5,0.5,1,1,2,0.5,0.5,1,1
Ground,2,1,0.5,2,1,1,2,1,0,1,0.5,2,1,1,1
Flying,1,1,2,0.5,1,2,1,1,1,1,2,0.5,1,1,1
Psychic,1,1,1,1,1,2,2,1,1,0.5,1,1,1,1,1
Bug,0.5,1,2,1,1,0.5,2,1,0.5,2,1,1,0.5,1,1
Rock,2,1,1,1,2,0.5,1,0.5,2,1,2,1,1,1,1
Ghost,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0
Dragon,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Normal,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1